row_id,counterparty_id,S_lp,R_hp,P_energy,vector_norm,t_diff,rank
59,79,38046.888270716074,10425.716460056461,65372898.65147511,65372910.55442848,60.0,1
21,30,33099.91510427479,10207.9675411464,57188465.36330581,57188475.85324345,60.0,2
54,74,15763.321482604657,9900.58686123742,11970417.303750329,11970431.777085138,60.0,3
49,66,13078.489864223908,10088.582311911385,5028018.85975475,5028045.990286848,60.0,4
18,25,2341.240726397373,11216.029183336432,3999031.3857657565,3999047.7997966423,60.0,5
17,22,9784.488352766375,9724.420089400752,3991395.853550236,3991419.692327082,60.0,6
47,63,10063.043521331885,9733.586986985609,3774253.8119493923,3774279.7782590343,60.0,7
23,32,4063.645988783013,11398.275539543334,3607432.0016989596,3607452.2977838195,60.0,8
35,47,2415.1432671743805,10870.989349494197,3524534.002909922,3524551.5954507855,60.0,9
45,60,2404.4679956116047,10825.612610551652,3495833.3048602026,3495850.8936630213,60.0,10
38,50,2400.8853822841393,10811.938758644825,3486342.802632485,3486360.394413875,60.0,11
52,70,2387.429147660007,10755.575501327354,3450566.616538558,3450584.205231435,60.0,12
9,10,3372.926349084158,10740.99734284915,3433140.9726660876,3433159.431755934,60.0,13
3,3,2380.8676359216274,10725.30670039631,3432298.792293529,3432316.3753235415,60.0,14
2,2,2377.3518603844404,10709.45905952312,3421693.0675209165,3421710.652968178,60.0,15
28,37,2372.4623698868345,10690.447529506217,3409651.483984529,3409669.0684704254,60.0,16
19,26,2358.517652797396,10630.47353844725,3371844.4346577525,3371862.016913745,60.0,17
51,69,2355.4344562869996,10616.32402384283,3363550.995748567,3363568.5745066106,60.0,18
6,7,2348.590684366601,10587.430079519467,3345223.8142475034,3345241.392928544,60.0,19
4,4,2348.305727596217,10584.584999055289,3344193.5382404663,3344211.11313097,60.0,20
25,34,3411.1267191892503,10849.408930047957,3120140.892915746,3120161.620349929,60.0,21
13,17,3336.4074977689793,10633.892148211915,3038038.7552837194,3038059.1978898407,60.0,22
30,41,3314.5242140742216,10565.883638384974,2963705.4659838816,2963726.1535220426,60.0,23
42,54,3383.4350848330614,10774.911772777847,2693909.1668601073,2693932.83985507,60.0,24
48,65,3380.994190855552,10767.521446405073,2689368.317507361,2689391.997804,60.0,25
46,61,3377.8367675444856,10758.45496361938,2684928.1828278545,2684951.861966564,60.0,26
14,18,3367.9611229582442,10727.941436970013,2670646.690824343,2670670.361370084,60.0,27
20,29,3350.089092252303,10673.807730133107,2643937.660657735,2643961.3285206505,60.0,28
0,0,3335.608713255009,10631.07789541268,2623083.441392025,2623107.1054396033,60.0,29
44,59,3329.733226330095,10611.805014558966,2614400.674962422,2614424.331812453,60.0,30
16,21,4145.876994835903,11075.382688382046,2510765.5906690084,2510793.4410630525,60.0,31
22,31,4061.018850948203,10532.481968595379,2344997.669057071,2345024.8384470525,60.0,32
5,5,4106.194785469061,8961.07449334962,2314525.4334160076,2314546.4228702025,60.0,33
31,42,4121.647206792313,10720.179796645773,2146372.0677947523,2146402.796224439,60.0,34
41,53,4112.014063022069,10697.099698343545,2137441.9502021964,2137472.6728278375,60.0,35
15,20,4102.190227608355,10671.184495635898,2128010.270051598,2128040.9797718367,60.0,36
10,11,4118.780702690598,8960.66423546411,2119869.013706147,2119891.953173437,60.0,37
36,48,5344.180156499959,10938.403002547197,2021723.989321726,2021760.6430833363,60.0,38
39,51,4788.108095296521,10906.112032632203,1977338.530064943,1977374.4035306491,60.0,39
32,43,4760.050441461647,10722.482475939025,1913793.0162110534,1913828.9731866985,60.0,40
8,9,3400.3388238527773,6583.05686322356,1844307.3372585794,1844322.2205481376,60.0,41
26,35,4719.465228503332,10634.16789821416,1725160.9536118342,1725200.183962958,60.0,42
37,49,15440.120502297077,10720.1623384634,1636917.217381953,1637025.1359594832,60.0,43
11,14,5319.520266307418,10805.962342184504,1562838.4638916352,1562884.8743068604,60.0,44
58,78,4173.45899302539,8821.691093835829,1538854.4327948447,1538885.377578871,60.0,45
50,67,6263.420449904369,11011.079120225488,1535817.5175027563,1535869.7605485476,60.0,46
1,1,4783.9292112791145,8919.289341150266,1523891.4404809738,1523925.0513303557,60.0,47
57,77,8665.502307150293,10236.81876738615,1478760.1263215248,1478820.9474399406,60.0,48
53,73,3403.554792052477,7442.081567149394,1458373.2449352904,1458396.204845022,60.0,49
24,33,5351.549251767332,10778.436108385247,1453081.9514606856,1453131.7804745482,60.0,50
43,58,5328.755031768447,10734.285863431436,1441426.4543633356,1441476.2723894014,60.0,51
27,36,5832.703890688388,10727.153525060114,1181530.190151809,1181593.2813356703,60.0,52
40,52,5802.765371523723,10674.576047695247,1170574.7534097934,1170637.805634242,60.0,53
34,46,8270.642406125302,10183.949630187892,1115956.3525915027,1116033.4660059304,60.0,54
29,38,7213.838019931945,11015.173445948993,938382.1935020523,938474.5678955532,60.0,55
7,8,2393.2281256422407,3835.5105656673395,927507.2162385854,927518.2342449181,60.0,56
55,75,7519.229250127227,10877.801590912002,801971.4334733157,802080.4482614022,60.0,57
12,16,6740.270298439286,10734.890221644331,787483.4585774721,787585.4662478886,60.0,58
56,76,8236.082376640317,10729.256569868789,357461.7436308421,357717.5536076735,60.0,59
33,45,9518.53224133269,10856.109343326785,234377.0968228894,234821.38122673077,60.0,60
