row_id,counterparty_id,S_lp,R_hp,P_energy,vector_norm,t_diff,rank
59,79,38032.42200140876,10422.513091646702,65327692.03667731,65327703.93893279,120.0,1
21,30,33087.50794609801,10204.40050742493,57145153.89274095,57145164.38280686,120.0,2
54,74,15795.533225074945,9920.977531638235,12025937.785292933,12025952.250878153,120.0,3
49,66,13047.010325030826,10066.179666137876,5003918.304852986,5003945.438760726,120.0,4
18,25,2378.8387677384308,11388.237756925038,4125728.3923605406,4125744.795593031,120.0,5
17,22,9817.659634022582,9756.933946445864,4024489.0403476018,4024512.8425784265,120.0,6
47,63,10102.716721760838,9770.012690134565,3800735.89995353,3800761.8840475515,120.0,7
23,32,4121.099531156993,11553.675902121491,3711898.0992317144,3711918.3679019953,120.0,8
35,47,2383.4180496392933,10735.743581677445,3438706.905003247,3438724.4896020475,120.0,9
45,60,2382.9849604616093,10733.837931197555,3437540.836217259,3437558.4205297963,120.0,10
38,50,2382.8876503601105,10734.823163396723,3437280.65710888,3437298.2457617437,120.0,11
52,70,2382.5535668130665,10733.733865071626,3436389.363460606,3436406.953041123,120.0,12
3,3,2381.662930200954,10728.366340688981,3433943.6196174235,3433961.204334415,120.0,13
28,37,2381.3024841831825,10727.895321781169,3432974.609344719,3432992.1973032625,120.0,14
2,2,2380.917268526517,10725.574071293235,3431902.62794063,3431920.213870364,120.0,15
19,26,2380.5285158185966,10724.733236739337,3430886.871681956,3430904.4599199514,120.0,16
51,69,2380.0810036002854,10721.99960699332,3429656.347761097,3429673.9334518583,120.0,17
6,7,2379.9153569122973,10721.727800276376,3429225.062905232,3429242.649842895,120.0,18
4,4,2379.4930792654914,10718.586200734146,3428053.6186427013,3428071.201472743,120.0,19
9,10,3368.6030083648684,10727.910990263925,3424666.6908174707,3424685.15031019,120.0,20
13,17,3366.231932880026,10724.465938775476,3087459.5924818516,3087480.053521852,120.0,21
25,34,3370.9749201748014,10727.493611867241,3050032.8264273363,3050053.554427435,120.0,22
30,41,3364.877751493829,10718.787900399693,3047552.646723293,3047573.3542224183,120.0,23
42,54,3369.383588760391,10731.769167538783,2672232.568945421,2672256.2426062133,120.0,24
48,65,3368.730466852893,10730.651220815482,2671255.965079354,2671279.642080292,120.0,25
46,61,3368.541406381435,10730.393947332279,2670970.961013008,2670994.6392683424,120.0,26
14,18,3368.372803474411,10729.158282639059,2670741.930948834,2670765.6060577654,120.0,27
20,29,3367.0926011830998,10725.424932016585,2668837.0686621806,2668860.744047523,120.0,28
0,0,3366.2731047248603,10723.758002332659,2667619.9723707377,2667643.650822119,120.0,29
44,59,3366.2322949659247,10722.251501461411,2667578.2650027806,2667601.9377171644,120.0,30
16,21,4126.418380193686,11029.813541356023,2496997.2765666693,2497025.0465897955,120.0,31
22,31,4121.315210623396,10681.227330677217,2407877.6801044303,2407904.8976654885,120.0,32
5,5,4124.09052579312,8999.975335596073,2328000.626642987,2328021.6763013285,120.0,33
31,42,4124.5349801865,10727.763409489628,2148984.1908822325,2149014.9253456425,120.0,34
41,53,4124.304645627929,10727.600801330156,2148769.97267304,2148800.708946518,120.0,35
15,20,4123.362409143892,10723.933792442594,2147852.168635487,2147882.897921976,120.0,36
10,11,4125.297813997224,8970.694240458646,2138650.3885870273,2138673.181213215,120.0,37
36,48,5327.388924676531,10901.314295335496,2001534.931077655,2001571.707446464,120.0,38
39,51,4765.872654163181,10857.669459664354,1961347.1240530997,1961382.9670820576,120.0,39
32,43,4763.5408844819995,10729.609771465728,1908033.9072893905,1908070.0215698648,120.0,40
8,9,3369.4031910170975,6530.281080440338,1817790.800960846,1817805.6533927731,120.0,41
26,35,4760.604550505909,10722.338067502053,1752510.3159772158,1752549.5826069745,120.0,42
37,49,15435.303966705333,10715.967774575725,1632460.8913029884,1632569.0313758978,120.0,43
11,14,5324.55177546423,10817.361849080164,1568611.9327442294,1568658.2679846399,120.0,44
50,67,6298.999167750336,11069.794566283696,1550314.2051383418,1550366.5219540775,120.0,45
1,1,4764.277310836256,8886.13755627452,1513501.8047489012,1513535.3893309347,120.0,46
58,78,4128.0412445884795,8720.392833826936,1499301.7892962582,1499332.8320832085,120.0,47
57,77,8592.07013109171,10152.590759588986,1447854.7085311855,1447915.7972009953,120.0,48
24,33,5327.679182337478,10732.026650937094,1440424.8619150138,1440474.6937674375,120.0,49
43,58,5325.568848325926,10728.204755464008,1439379.3011710756,1439429.1329206058,120.0,50
53,73,3369.9069917422134,7363.852347353465,1423447.653976086,1423470.690321564,120.0,51
27,36,5833.9340719038155,10729.209304626196,1181451.5705291997,1181514.6906513562,120.0,52
40,52,5831.856563118006,10725.43010658699,1180689.427320687,1180752.5435876884,120.0,53
34,46,8252.142391589705,10162.190733825815,1111221.3769888014,1111298.4822501333,120.0,54
29,38,7149.061070663096,10920.150051302524,921506.4161020762,921598.8463906776,120.0,55
7,8,2382.0392469280655,3819.1045917311753,919118.6626006748,919129.6837833655,120.0,56
55,75,7531.024993752463,10890.958272232157,795379.450718493,795489.6604826462,120.0,57
12,16,6736.296103416855,10728.922915949786,786109.0191618475,786211.0896443342,120.0,58
56,76,8249.386418082186,10745.389600556558,355700.1835531146,355958.05420535436,120.0,59
33,45,9526.451573177545,10865.244709257486,236519.39386177555,236960.39857940367,120.0,60
